File	Owner	Coverage
Stocked/QAAIOverrideView.swift	sheets	Source reviewed; see owner ledger
Stocked/ReceiptScannerView.swift	library	Source reviewed; see owner ledger
Stocked/QAEntry.swift	sheets	Source reviewed; see owner ledger
Stocked/IngredientFormViews.swift	library	Source reviewed; see owner ledger
Stocked/CrowdShareToggle.swift	sheets	Source reviewed; see owner ledger
Stocked/QAHUD.swift	sheets	Source reviewed; see owner ledger
Stocked/StockedHealthView.swift	sheets	Source reviewed; see owner ledger
Stocked/InventoryView.swift	library	Source reviewed; see owner ledger
Stocked/CookingIntentView.swift	cook	Source reviewed; see owner ledger
Stocked/OpenKitchenCreditsView.swift	sheets	Source reviewed; see owner ledger
Stocked/DatabasesView.swift	library	Source reviewed; see owner ledger
Stocked/RecipeFinderView.swift	cook	Source reviewed; see owner ledger
Stocked/CooklangConnectionPanel.swift	library	Source reviewed; see owner ledger
Stocked/ImageFallbackService.swift	root-shared	Shared infrastructure; root verification
Stocked/CookNowPrep.swift	cook	Source reviewed; see owner ledger
Stocked/DietaryProfileView.swift	sheets	Source reviewed; see owner ledger
Stocked/InventoryUpdateReviewView.swift	library	Source reviewed; see owner ledger
Stocked/CookingMethodComparisonView.swift	cook	Source reviewed; see owner ledger
Stocked/MealPlannerView.swift	library	Source reviewed; see owner ledger
Stocked/CookNowFlows.swift	cook	Source reviewed; see owner ledger
Stocked/SizeSystem.swift	root-shared	Shared infrastructure; root verification
Stocked/CookLaterFlows.swift	cook	Source reviewed; see owner ledger
Stocked/GroceryCartHandoff.swift	library	Source reviewed; see owner ledger
Stocked/GroceryListView.swift	library	Source reviewed; see owner ledger
Stocked/CookAheadAndFinish.swift	cook	Source reviewed; see owner ledger
Stocked/CookingSessionSummaryView.swift	cook	Source reviewed; see owner ledger
Stocked/QATouchTrail.swift	sheets	Source reviewed; see owner ledger
Stocked/CookConsumption.swift	cook	Source reviewed; see owner ledger
Stocked/HouseholdCookCoordination.swift	cook	Source reviewed; see owner ledger
Stocked/SubstitutionEngine.swift	cook	Source reviewed; see owner ledger
Stocked/GardenHarvest.swift	sheets	Source reviewed; see owner ledger
Stocked/MealPlanToolsView.swift	library	Source reviewed; see owner ledger
Stocked/CompoundingPrepView.swift	cook	Source reviewed; see owner ledger
Stocked/RecipeBrowserView.swift	library	Source reviewed; see owner ledger
Stocked/ItemIcon.swift	root-shared	Shared infrastructure; root verification
Stocked/RecipeVaultViews.swift	library	Source reviewed; see owner ledger
Stocked/ShelfScanView.swift	library	Source reviewed; see owner ledger
Stocked/ProfileAvatar.swift	sheets	Source reviewed; see owner ledger
Stocked/AppMotionSystem.swift	root-shared	Shared infrastructure; root verification
Stocked/MainTabView.swift	root-shared	Shared infrastructure; root verification
Stocked/CookComponents.swift	cook	Source reviewed; see owner ledger
Stocked/InventoryDetailsSheet.swift	library	Source reviewed; see owner ledger
Stocked/TakeoutLog.swift	sheets	Source reviewed; see owner ledger
Stocked/InventoryViews.swift	library	Source reviewed; see owner ledger
Stocked/QAMode.swift	sheets	Source reviewed; see owner ledger
Stocked/CookRightNowView.swift	cook	Source reviewed; see owner ledger
Stocked/InventoryExporter.swift	library	Source reviewed; see owner ledger
Stocked/EditPreferencesView.swift	sheets	Source reviewed; see owner ledger
Stocked/SmartRecommendationView.swift	cook	Source reviewed; see owner ledger
Stocked/CookLaterCommandCenterView.swift	cook	Source reviewed; see owner ledger
Stocked/OnboardingQuiz.swift	sheets	Source reviewed; see owner ledger
Stocked/QuantityInputView.swift	library	Source reviewed; see owner ledger
Stocked/CachedLocalDataImage.swift	root-shared	Shared infrastructure; root verification
Stocked/MealPrepView.swift	library	Source reviewed; see owner ledger
Stocked/EmergencyPantry.swift	sheets	Source reviewed; see owner ledger
Stocked/SourceConfidence.swift	root-shared	Shared infrastructure; root verification
Stocked/PlanAheadEditors.swift	library	Source reviewed; see owner ledger
Stocked/StockGoalsSetupView.swift	sheets	Source reviewed; see owner ledger
Stocked/RegionalFoodData.swift	sheets	Source reviewed; see owner ledger
Stocked/EditProfileView.swift	sheets	Source reviewed; see owner ledger
Stocked/InventoryItemSheets.swift	library	Source reviewed; see owner ledger
Stocked/CuisineBrowseView.swift	library	Source reviewed; see owner ledger
Stocked/StoreLayoutLearning.swift	library	Source reviewed; see owner ledger
Stocked/LoginView.swift	sheets	Source reviewed; see owner ledger
Stocked/ToolboxInsights.swift	sheets	Source reviewed; see owner ledger
Stocked/InventoryHubView.swift	library	Source reviewed; see owner ledger
Stocked/SettingsSections.swift	sheets	Source reviewed; see owner ledger
Stocked/CookingFlow.swift	cook	Source reviewed; see owner ledger
Stocked/UserRecipeViews.swift	library	Source reviewed; see owner ledger
Stocked/RecipeBudgetStatus.swift	library	Source reviewed; see owner ledger
Stocked/ImageCache.swift	root-shared	Shared infrastructure; root verification
Stocked/HouseholdViews.swift	sheets	Source reviewed; see owner ledger
Stocked/StockedShell.swift	root-shared	Shared infrastructure; root verification
Stocked/WeekMealPlannerView.swift	library	Source reviewed; see owner ledger
Stocked/CommunityPriceWatchesView.swift	sheets	Source reviewed; see owner ledger
Stocked/ToolboxReference.swift	sheets	Source reviewed; see owner ledger
Stocked/PurchaseDedupReviewView.swift	library	Source reviewed; see owner ledger
Stocked/FoodsAndMoodsViews.swift	library	Source reviewed; see owner ledger
Stocked/StockedScreen.swift	root-shared	Shared infrastructure; root verification
Stocked/UXKit.swift	root-shared	Shared infrastructure; root verification
Stocked/KitchenWrappedView.swift	sheets	Source reviewed; see owner ledger
Stocked/SubstitutionReviewSheet.swift	cook	Source reviewed; see owner ledger
Stocked/DrawerSettingsContent.swift	sheets	Source reviewed; see owner ledger
Stocked/StartWithSomethingView.swift	cook	Source reviewed; see owner ledger
Stocked/SettingsPageView.swift	sheets	Source reviewed; see owner ledger
